[2026-03-16 00:43:36,148: INFO: common: created directory at: artifacts]
[2026-03-16 00:43:36,149: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-16 00:43:36,150: INFO: 342630268: Data already present at: artifacts/data_ingestion/data.csv]
[2026-03-16 00:43:41,230: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-16 00:43:41,232: INFO: common: created directory at: artifacts]
[2026-03-16 00:43:41,233: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-16 00:43:41,233: INFO: 342630268: Data already present at: artifacts/data_ingestion/data.csv]
[2026-03-16 01:03:01,051: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-03-16 01:03:01,052: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-16 01:03:01,053: INFO: common: created directory at: artifacts]
[2026-03-16 01:03:01,053: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-16 01:03:01,053: INFO: data_ingestion: Data already present at: artifacts/data_ingestion/data.csv]
[2026-03-16 01:03:01,053: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2026-03-16 01:03:23,292: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-03-16 01:03:23,292: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-16 01:03:23,293: INFO: common: created directory at: artifacts]
[2026-03-16 01:03:23,293: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-16 01:03:23,293: INFO: data_ingestion: Starting downloading dataset]
[2026-03-16 01:03:24,855: INFO: data_ingestion: dataset downloaded successfully at: artifacts/data_ingestion/data.csv]
[2026-03-16 01:03:24,855: INFO: data_ingestion: dataset size: ~ 1842 KB]
[2026-03-16 01:03:24,863: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2026-03-16 01:32:57,463: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-16 01:32:57,466: INFO: common: created directory at: artifacts]
[2026-03-16 01:32:57,466: INFO: common: created directory at: artifacts/data_transformation]
[2026-03-16 01:32:57,467: INFO: 3406415138: Reading dataset]
[2026-03-16 01:32:57,510: INFO: 3406415138: Extracting introduction from PDFs]
[2026-03-16 01:34:46,354: WARNING: 3406415138: Failed for https://openreview.net/pdf/a1588e1364d95a4e90a4ec5a419f87ed7f2e8666.pdf: ('Connection broken: IncompleteRead(1338855 bytes read, 2151487 more expected)', IncompleteRead(1338855 bytes read, 2151487 more expected))]
[2026-03-16 01:37:07,455: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-16 01:37:07,456: INFO: common: created directory at: artifacts]
[2026-03-16 01:37:07,457: INFO: common: created directory at: artifacts/data_transformation]
[2026-03-16 01:37:07,458: INFO: 90674169: Reading dataset]
[2026-03-16 01:37:07,498: INFO: 90674169: Extracting introduction from PDFs]
[2026-03-16 01:38:14,669: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-16 01:38:14,670: INFO: common: created directory at: artifacts]
[2026-03-16 01:38:14,671: INFO: common: created directory at: artifacts/data_transformation]
[2026-03-16 01:38:14,671: INFO: 2787771594: Reading dataset]
[2026-03-16 01:38:14,698: INFO: 2787771594: Extracting introduction from PDFs]
[2026-03-17 19:04:24,702: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 19:04:24,705: INFO: common: created directory at: artifacts]
[2026-03-17 19:04:24,706: INFO: common: created directory at: artifacts/data_transformation]
[2026-03-17 19:04:24,707: INFO: 832439531: Reading dataset]
[2026-03-17 19:04:24,801: INFO: 832439531: Extracting introduction from PDFs]
[2026-03-17 19:04:24,806: INFO: 832439531: Processing 1/1214]
[2026-03-17 19:04:25,168: WARNING: 832439531: Attempt 1 failed for https://openreview.net/pdf/a82ec160e25fa08e901cf4720d1810d3f6d00ae2.pdf: 403 Client Error: Forbidden for url: https://openreview.net/pdf/a82ec160e25fa08e901cf4720d1810d3f6d00ae2.pdf]
[2026-03-17 19:04:28,391: WARNING: 832439531: Attempt 2 failed for https://openreview.net/pdf/a82ec160e25fa08e901cf4720d1810d3f6d00ae2.pdf: 403 Client Error: Forbidden for url: https://openreview.net/pdf/a82ec160e25fa08e901cf4720d1810d3f6d00ae2.pdf]
[2026-03-17 19:04:31,620: WARNING: 832439531: Attempt 3 failed for https://openreview.net/pdf/a82ec160e25fa08e901cf4720d1810d3f6d00ae2.pdf: 403 Client Error: Forbidden for url: https://openreview.net/pdf/a82ec160e25fa08e901cf4720d1810d3f6d00ae2.pdf]
[2026-03-17 19:04:35,630: INFO: 832439531: Processing 2/1214]
[2026-03-17 19:04:35,851: WARNING: 832439531: Attempt 1 failed for https://openreview.net/pdf/7de864552f0638515d915497f208b6f5185bb64b.pdf: 403 Client Error: Forbidden for url: https://openreview.net/pdf/7de864552f0638515d915497f208b6f5185bb64b.pdf]
[2026-03-17 19:04:39,050: WARNING: 832439531: Attempt 2 failed for https://openreview.net/pdf/7de864552f0638515d915497f208b6f5185bb64b.pdf: 403 Client Error: Forbidden for url: https://openreview.net/pdf/7de864552f0638515d915497f208b6f5185bb64b.pdf]
[2026-03-17 19:04:42,280: WARNING: 832439531: Attempt 3 failed for https://openreview.net/pdf/7de864552f0638515d915497f208b6f5185bb64b.pdf: 403 Client Error: Forbidden for url: https://openreview.net/pdf/7de864552f0638515d915497f208b6f5185bb64b.pdf]
[2026-03-17 19:04:46,301: INFO: 832439531: Processing 3/1214]
[2026-03-17 19:04:46,497: WARNING: 832439531: Attempt 1 failed for https://openreview.net/pdf/aac7a789463539d3cde8fa973a483f89909bca2a.pdf: 403 Client Error: Forbidden for url: https://openreview.net/pdf/aac7a789463539d3cde8fa973a483f89909bca2a.pdf]
[2026-03-17 19:04:49,735: WARNING: 832439531: Attempt 2 failed for https://openreview.net/pdf/aac7a789463539d3cde8fa973a483f89909bca2a.pdf: 403 Client Error: Forbidden for url: https://openreview.net/pdf/aac7a789463539d3cde8fa973a483f89909bca2a.pdf]
[2026-03-17 19:04:52,936: WARNING: 832439531: Attempt 3 failed for https://openreview.net/pdf/aac7a789463539d3cde8fa973a483f89909bca2a.pdf: 403 Client Error: Forbidden for url: https://openreview.net/pdf/aac7a789463539d3cde8fa973a483f89909bca2a.pdf]
[2026-03-17 19:04:56,951: INFO: 832439531: Processing 4/1214]
[2026-03-17 19:04:57,140: WARNING: 832439531: Attempt 1 failed for https://openreview.net/pdf/d2a42b7b622134c8c687b021501d60207eb73f7d.pdf: 403 Client Error: Forbidden for url: https://openreview.net/pdf/d2a42b7b622134c8c687b021501d60207eb73f7d.pdf]
[2026-03-17 19:05:00,346: WARNING: 832439531: Attempt 2 failed for https://openreview.net/pdf/d2a42b7b622134c8c687b021501d60207eb73f7d.pdf: 403 Client Error: Forbidden for url: https://openreview.net/pdf/d2a42b7b622134c8c687b021501d60207eb73f7d.pdf]
[2026-03-17 19:05:03,573: WARNING: 832439531: Attempt 3 failed for https://openreview.net/pdf/d2a42b7b622134c8c687b021501d60207eb73f7d.pdf: 403 Client Error: Forbidden for url: https://openreview.net/pdf/d2a42b7b622134c8c687b021501d60207eb73f7d.pdf]
[2026-03-17 19:05:07,585: INFO: 832439531: Processing 5/1214]
[2026-03-17 19:05:07,778: WARNING: 832439531: Attempt 1 failed for https://openreview.net/pdf/62dd307a745e636daae0693aef02e033303bd251.pdf: 403 Client Error: Forbidden for url: https://openreview.net/pdf/62dd307a745e636daae0693aef02e033303bd251.pdf]
[2026-03-17 19:06:56,671: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 19:06:56,672: INFO: common: created directory at: artifacts]
[2026-03-17 19:06:56,673: INFO: common: created directory at: artifacts/data_transformation]
[2026-03-17 19:06:56,678: INFO: 4279981164: Reading dataset]
[2026-03-17 19:06:56,709: INFO: 4279981164: Extracting introduction from PDFs]
[2026-03-17 19:06:56,714: ERROR: 4279981164: Column 'pdf_path' not found in dataset]
[2026-03-17 19:07:28,366: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 19:07:28,368: INFO: common: created directory at: artifacts]
[2026-03-17 19:07:28,368: INFO: common: created directory at: artifacts/data_transformation]
[2026-03-17 19:07:28,372: INFO: 1475989096: Reading dataset]
[2026-03-17 19:07:28,399: INFO: 1475989096: Extracting introduction from PDFs]
